id,year,name,park,wins,losses
2692,2012,"Cincinnati Reds","Great American Ball Park",97,65
2693,2012,"Cleveland Indians","Progressive Field",68,94
2694,2012,"Colorado Rockies","Coors Field",64,98
2695,2012,"Detroit Tigers","Comerica Park",88,74
2696,2012,"Houston Astros","Minute Maid Park",55,107
2697,2012,"Kansas City Royals","Kauffman Stadium",72,90
2698,2012,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",89,73
2699,2012,"Los Angeles Dodgers","Dodger Stadium",86,76
2700,2012,"Miami Marlins","Marlins Park",69,93
2701,2012,"Milwaukee Brewers","Miller Park",83,79
2702,2012,"Minnesota Twins","Target Field",66,96
