id,year,name,park,wins,losses
2326,2000,"Anaheim Angels","Edison International Field",82,80
2327,2000,"Arizona Diamondbacks","Bank One Ballpark",85,77
2328,2000,"Atlanta Braves","Turner Field",95,67
2329,2000,"Baltimore Orioles","Oriole Park at Camden Yards",74,88
2330,2000,"Boston Red Sox","Fenway Park II",85,77
2331,2000,"Chicago White Sox","Comiskey Park II",95,67
2332,2000,"Chicago Cubs","Wrigley Field",65,97
2333,2000,"Cincinnati Reds","Cinergy Field",85,77
2334,2000,"Cleveland Indians","Jacobs Field",90,72
2335,2000,"Colorado Rockies","Coors Field",82,80
2336,2000,"Detroit Tigers","Comerica Park",79,83
2337,2000,"Florida Marlins","Pro Player Stadium",79,82
2338,2000,"Houston Astros","Enron Field",72,90
2339,2000,"Kansas City Royals","Kauffman Stadium",77,85
2340,2000,"Los Angeles Dodgers","Dodger Stadium",86,76
2341,2000,"Milwaukee Brewers","County Stadium",73,89
2342,2000,"Minnesota Twins","Hubert H Humphrey Metrodome",69,93
2343,2000,"Montreal Expos","Stade Olympique",67,95
2344,2000,"New York Yankees","Yankee Stadium II",87,74
2345,2000,"New York Mets","Shea Stadium",94,68
2346,2000,"Oakland Athletics","Oakland Coliseum",91,70
2347,2000,"Philadelphia Phillies","Veterans Stadium",65,97
2348,2000,"Pittsburgh Pirates","Three Rivers Stadium",69,93
2349,2000,"San Diego Padres","Qualcomm Stadium",76,86
2350,2000,"Seattle Mariners","Safeco Field",91,71
2351,2000,"San Francisco Giants","PacBell Park",97,65
2352,2000,"St. Louis Cardinals","Busch Stadium II",95,67
2353,2000,"Tampa Bay Devil Rays","Tropicana Field",69,92
2354,2000,"Texas Rangers","The Ballpark at Arlington",71,91
2355,2000,"Toronto Blue Jays",Skydome,83,79
2356,2001,"Anaheim Angels","Edison International Field",75,87
2357,2001,"Arizona Diamondbacks","Bank One Ballpark",92,70
2358,2001,"Atlanta Braves","Turner Field",88,74
2359,2001,"Baltimore Orioles","Oriole Park at Camden Yards",63,98
2360,2001,"Boston Red Sox","Fenway Park II",82,79
2361,2001,"Chicago White Sox","Comiskey Park II",83,79
2362,2001,"Chicago Cubs","Wrigley Field",88,74
2363,2001,"Cincinnati Reds","Cinergy Field",66,96
2364,2001,"Cleveland Indians","Jacobs Field",91,71
2365,2001,"Colorado Rockies","Coors Field",73,89
2366,2001,"Detroit Tigers","Comerica Park",66,96
2367,2001,"Florida Marlins","Pro Player Stadium",76,86
2368,2001,"Houston Astros","Enron Field",93,69
2369,2001,"Kansas City Royals","Kauffman Stadium",65,97
2370,2001,"Los Angeles Dodgers","Dodger Stadium",86,76
2371,2001,"Milwaukee Brewers","Miller Park",68,94
2372,2001,"Minnesota Twins","Hubert H Humphrey Metrodome",85,77
2373,2001,"Montreal Expos","Stade Olympique",68,94
2374,2001,"New York Yankees","Yankee Stadium II",95,65
2375,2001,"New York Mets","Shea Stadium",82,80
